Jan 7 2018,New York Knicks,Dallas Mavericks
Jan 7 2018,Atlanta Hawks,Los Angeles Lakers
Jan 7 2018,Utah Jazz,Miami Heat
Jan 7 2018,Oklahoma City Thunder,Phoenix Suns
Jan 7 2018,San Antonio Spurs,Portland Trail Blazers
Jan 8 2018,Toronto Raptors,Brooklyn Nets
Jan 8 2018,Houston Rockets,Chicago Bulls
Jan 8 2018,Denver Nuggets,Golden State Warriors
Jan 8 2018,Milwaukee Bucks,Indiana Pacers
Jan 8 2018,Atlanta Hawks,Los Angeles Clippers
Jan 8 2018,Cleveland Cavaliers,Minnesota Timberwolves
Jan 8 2018,Detroit Pistons,New Orleans Pelicans
Jan 8 2018,San Antonio Spurs,Sacramento Kings
Jan 9 2018,Orlando Magic,Dallas Mavericks
